ensemble	scenario	struct	rank	stage	acc_sr	med_sr	high_sr
IBMo	twohit	b	1	rigid	0.175	0.025	0.0
IBMo	twohit	b	10	rigid	0.4	0.05	0.025
IBMo	twohit	b	200	rigid	0.675	0.25	0.05
IBMo	twohit	b	1	flex	0.05	0.0	0.0
IBMo	twohit	b	10	flex	0.375	0.15	0.0
IBMo	twohit	b	200	flex	0.675	0.25	0.0
IBMo	twohit	b	1	emref	0.1	0.05	0.0
IBMo	twohit	b	10	emref	0.4	0.125	0.0
IBMo	twohit	b	200	emref	0.675	0.25	0.0
IBMo	loose	u	1	rigid	0.1	0.0	0.0
IBMo	loose	u	10	rigid	0.2	0.05	0.0
IBMo	loose	u	200	rigid	0.675	0.15	0.0
IBMo	loose	u	1	flex	0.075	0.025	0.0
IBMo	loose	u	10	flex	0.325	0.15	0.0
IBMo	loose	u	200	flex	0.725	0.175	0.0
IBMo	loose	u	1	emref	0.075	0.025	0.0
IBMo	loose	u	10	emref	0.275	0.075	0.0
IBMo	loose	u	200	emref	0.725	0.175	0.0
IBMo	real	u	1	rigid	0.325	0.05	0.0
IBMo	real	u	10	rigid	0.675	0.175	0.0
IBMo	real	u	200	rigid	0.925	0.35	0.0
IBMo	real	u	1	flex	0.35	0.15	0.0
IBMo	real	u	10	flex	0.75	0.25	0.0
IBMo	real	u	200	flex	0.925	0.525	0.0
IBMo	real	u	1	emref	0.425	0.125	0.0
IBMo	real	u	10	emref	0.725	0.275	0.0
IBMo	real	u	200	emref	0.925	0.55	0.0
IBMo	real	b	1	rigid	0.425	0.225	0.075
IBMo	real	b	10	rigid	0.825	0.35	0.1
IBMo	real	b	200	rigid	1.0	0.7	0.125
IBMo	real	b	1	flex	0.575	0.35	0.075
IBMo	real	b	10	flex	0.85	0.575	0.15
IBMo	real	b	200	flex	1.0	0.925	0.2
IBMo	real	b	1	emref	0.6	0.375	0.025
IBMo	real	b	10	emref	0.775	0.575	0.15
IBMo	real	b	200	emref	1.0	0.925	0.2
IBMo	twohit	u	1	rigid	0.0	0.0	0.0
IBMo	twohit	u	10	rigid	0.15	0.05	0.0
IBMo	twohit	u	200	rigid	0.6	0.125	0.0
IBMo	twohit	u	1	flex	0.125	0.025	0.0
IBMo	twohit	u	10	flex	0.325	0.05	0.0
IBMo	twohit	u	200	flex	0.625	0.1	0.0
IBMo	twohit	u	1	emref	0.05	0.0	0.0
IBMo	twohit	u	10	emref	0.175	0.025	0.0
IBMo	twohit	u	200	emref	0.625	0.1	0.0
IBMo	loose	b	1	rigid	0.225	0.1	0.05
IBMo	loose	b	10	rigid	0.35	0.15	0.05
IBMo	loose	b	200	rigid	0.775	0.275	0.05
IBMo	loose	b	1	flex	0.175	0.05	0.0
IBMo	loose	b	10	flex	0.35	0.175	0.025
IBMo	loose	b	200	flex	0.75	0.35	0.05
IBMo	loose	b	1	emref	0.125	0.0	0.0
IBMo	loose	b	10	emref	0.425	0.175	0.025
IBMo	loose	b	200	emref	0.75	0.35	0.05
IB	twohit	b	1	rigid	0.2	0.1	0.05
IB	twohit	b	10	rigid	0.4	0.15	0.05
IB	twohit	b	200	rigid	0.65	0.25	0.05
IB	twohit	b	1	flex	0.2	0.05	0.025
IB	twohit	b	10	flex	0.45	0.2	0.075
IB	twohit	b	200	flex	0.65	0.325	0.1
IB	twohit	b	1	emref	0.2	0.075	0.0
IB	twohit	b	10	emref	0.425	0.175	0.05
IB	twohit	b	200	emref	0.65	0.325	0.075
IBMoMu	twohit	u	1	rigid	0.1	0.025	0.025
IBMoMu	twohit	u	10	rigid	0.275	0.075	0.025
IBMoMu	twohit	u	200	rigid	0.625	0.175	0.025
IBMoMu	twohit	u	1	flex	0.125	0.025	0.0
IBMoMu	twohit	u	10	flex	0.325	0.15	0.0
IBMoMu	twohit	u	200	flex	0.625	0.25	0.0
IBMoMu	twohit	u	1	emref	0.175	0.05	0.0
IBMoMu	twohit	u	10	emref	0.325	0.125	0.0
IBMoMu	twohit	u	200	emref	0.625	0.25	0.0
IBMoMu	real	u	1	rigid	0.4	0.125	0.025
IBMoMu	real	u	10	rigid	0.75	0.225	0.025
IBMoMu	real	u	200	rigid	0.925	0.55	0.05
IBMoMu	real	u	1	flex	0.425	0.3	0.0
IBMoMu	real	u	10	flex	0.75	0.45	0.075
IBMoMu	real	u	200	flex	0.925	0.675	0.1
IBMoMu	real	u	1	emref	0.475	0.275	0.0
IBMoMu	real	u	10	emref	0.725	0.475	0.075
IBMoMu	real	u	200	emref	0.925	0.675	0.1
IBMoMu	loose	b	1	rigid	0.3	0.175	0.15
IBMoMu	loose	b	10	rigid	0.575	0.325	0.2
IBMoMu	loose	b	200	rigid	0.85	0.525	0.275
IBMoMu	loose	b	1	flex	0.275	0.2	0.15
IBMoMu	loose	b	10	flex	0.55	0.375	0.2
IBMoMu	loose	b	200	flex	0.875	0.525	0.2
IBMoMu	loose	b	1	emref	0.25	0.15	0.1
IBMoMu	loose	b	10	emref	0.6	0.375	0.175
IBMoMu	loose	b	200	emref	0.875	0.55	0.175
IBMoMu	real	b	1	rigid	0.6	0.35	0.225
IBMoMu	real	b	10	rigid	0.9	0.525	0.275
IBMoMu	real	b	200	rigid	1.0	0.875	0.325
IBMoMu	real	b	1	flex	0.6	0.475	0.2
IBMoMu	real	b	10	flex	0.875	0.675	0.35
IBMoMu	real	b	200	flex	1.0	0.975	0.375
IBMoMu	real	b	1	emref	0.675	0.5	0.225
IBMoMu	real	b	10	emref	0.925	0.75	0.35
IBMoMu	real	b	200	emref	1.0	0.975	0.35
IB	loose	b	1	rigid	0.225	0.075	0.05
IB	loose	b	10	rigid	0.3	0.1	0.1
IB	loose	b	200	rigid	0.65	0.225	0.125
IB	loose	b	1	flex	0.175	0.125	0.075
IB	loose	b	10	flex	0.35	0.175	0.1
IB	loose	b	200	flex	0.7	0.275	0.1
IB	loose	b	1	emref	0.225	0.1	0.025
IB	loose	b	10	emref	0.325	0.15	0.1
IB	loose	b	200	emref	0.7	0.25	0.1
IBMu	mix-loose	b	1	rigid	0.25	0.15	0.125
IBMu	mix-loose	b	10	rigid	0.6	0.275	0.175
IBMu	mix-loose	b	200	rigid	0.975	0.575	0.275
IBMu	mix-loose	b	1	flex	0.325	0.275	0.125
IBMu	mix-loose	b	10	flex	0.625	0.425	0.2
IBMu	mix-loose	b	200	flex	0.95	0.65	0.25
IBMu	mix-loose	b	1	emref	0.25	0.175	0.05
IBMu	mix-loose	b	10	emref	0.625	0.375	0.175
IBMu	mix-loose	b	200	emref	0.95	0.65	0.225
IBMu	twohit	b	1	rigid	0.275	0.15	0.1
IBMu	twohit	b	10	rigid	0.525	0.25	0.125
IBMu	twohit	b	200	rigid	0.8	0.45	0.25
IBMu	twohit	b	1	flex	0.325	0.25	0.125
IBMu	twohit	b	10	flex	0.575	0.35	0.125
IBMu	twohit	b	200	flex	0.825	0.475	0.175
IBMu	twohit	b	1	emref	0.275	0.15	0.05
IBMu	twohit	b	10	emref	0.55	0.325	0.125
IBMu	twohit	b	200	emref	0.825	0.45	0.15
IB	loose	u	1	rigid	0.1	0.0	0.0
IB	loose	u	10	rigid	0.3	0.0	0.0
IB	loose	u	200	rigid	0.625	0.075	0.0
IB	loose	u	1	flex	0.175	0.025	0.0
IB	loose	u	10	flex	0.4	0.075	0.0
IB	loose	u	200	flex	0.7	0.125	0.0
IB	loose	u	1	emref	0.15	0.0	0.0
IB	loose	u	10	emref	0.35	0.025	0.0
IB	loose	u	200	emref	0.7	0.125	0.0
IBMu	mix-twohit	u	1	rigid	0.125	0.0	0.0
IBMu	mix-twohit	u	10	rigid	0.3	0.1	0.0
IBMu	mix-twohit	u	200	rigid	0.675	0.2	0.0
IBMu	mix-twohit	u	1	flex	0.15	0.075	0.0
IBMu	mix-twohit	u	10	flex	0.375	0.125	0.0
IBMu	mix-twohit	u	200	flex	0.675	0.2	0.0
IBMu	mix-twohit	u	1	emref	0.175	0.075	0.0
IBMu	mix-twohit	u	10	emref	0.375	0.125	0.0
IBMu	mix-twohit	u	200	emref	0.675	0.2	0.0
IB	real	b	1	rigid	0.325	0.175	0.075
IB	real	b	10	rigid	0.575	0.25	0.1
IB	real	b	200	rigid	0.9	0.55	0.125
IB	real	b	1	flex	0.45	0.25	0.125
IB	real	b	10	flex	0.7	0.45	0.125
IB	real	b	200	flex	0.925	0.725	0.125
IB	real	b	1	emref	0.475	0.225	0.1
IB	real	b	10	emref	0.675	0.35	0.125
IB	real	b	200	emref	0.925	0.725	0.125
IBMu	real	u	1	rigid	0.4	0.15	0.025
IBMu	real	u	10	rigid	0.725	0.275	0.025
IBMu	real	u	200	rigid	0.925	0.5	0.05
IBMu	real	u	1	flex	0.575	0.275	0.025
IBMu	real	u	10	flex	0.8	0.45	0.05
IBMu	real	u	200	flex	0.925	0.725	0.15
IBMu	real	u	1	emref	0.55	0.325	0.025
IBMu	real	u	10	emref	0.825	0.5	0.075
IBMu	real	u	200	emref	0.925	0.725	0.15
IBMoMu	loose	u	1	rigid	0.15	0.075	0.0
IBMoMu	loose	u	10	rigid	0.325	0.1	0.0
IBMoMu	loose	u	200	rigid	0.7	0.275	0.0
IBMoMu	loose	u	1	flex	0.15	0.025	0.0
IBMoMu	loose	u	10	flex	0.375	0.175	0.025
IBMoMu	loose	u	200	flex	0.7	0.25	0.025
IBMoMu	loose	u	1	emref	0.175	0.05	0.0
IBMoMu	loose	u	10	emref	0.4	0.125	0.0
IBMoMu	loose	u	200	emref	0.7	0.25	0.025
IBMu	real	b	1	rigid	0.625	0.275	0.2
IBMu	real	b	10	rigid	0.9	0.475	0.25
IBMu	real	b	200	rigid	1.0	0.8	0.375
IBMu	real	b	1	flex	0.65	0.475	0.25
IBMu	real	b	10	flex	0.875	0.725	0.375
IBMu	real	b	200	flex	1.0	1.0	0.425
IBMu	real	b	1	emref	0.75	0.5	0.15
IBMu	real	b	10	emref	0.925	0.75	0.325
IBMu	real	b	200	emref	1.0	0.975	0.45
IBMu	mix-twohit	b	1	rigid	0.25	0.15	0.1
IBMu	mix-twohit	b	10	rigid	0.475	0.275	0.15
IBMu	mix-twohit	b	200	rigid	0.75	0.425	0.25
IBMu	mix-twohit	b	1	flex	0.25	0.2	0.125
IBMu	mix-twohit	b	10	flex	0.475	0.3	0.175
IBMu	mix-twohit	b	200	flex	0.7	0.45	0.225
IBMu	mix-twohit	b	1	emref	0.25	0.15	0.1
IBMu	mix-twohit	b	10	emref	0.425	0.275	0.175
IBMu	mix-twohit	b	200	emref	0.725	0.45	0.225
IBMoMu	twohit	b	1	rigid	0.275	0.15	0.1
IBMoMu	twohit	b	10	rigid	0.475	0.175	0.1
IBMoMu	twohit	b	200	rigid	0.7	0.375	0.175
IBMoMu	twohit	b	1	flex	0.225	0.125	0.05
IBMoMu	twohit	b	10	flex	0.45	0.275	0.125
IBMoMu	twohit	b	200	flex	0.7	0.425	0.15
IBMoMu	twohit	b	1	emref	0.225	0.175	0.1
IBMoMu	twohit	b	10	emref	0.4	0.275	0.1
IBMoMu	twohit	b	200	emref	0.7	0.425	0.125
IBMu	loose	b	1	rigid	0.175	0.125	0.075
IBMu	loose	b	10	rigid	0.45	0.225	0.125
IBMu	loose	b	200	rigid	0.825	0.45	0.275
IBMu	loose	b	1	flex	0.3	0.2	0.125
IBMu	loose	b	10	flex	0.5	0.35	0.175
IBMu	loose	b	200	flex	0.825	0.55	0.2
IBMu	loose	b	1	emref	0.225	0.15	0.05
IBMu	loose	b	10	emref	0.55	0.3	0.15
IBMu	loose	b	200	emref	0.825	0.55	0.175
IB	twohit	u	1	rigid	0.1	0.0	0.0
IB	twohit	u	10	rigid	0.3	0.025	0.0
IB	twohit	u	200	rigid	0.6	0.1	0.0
IB	twohit	u	1	flex	0.15	0.0	0.0
IB	twohit	u	10	flex	0.4	0.05	0.0
IB	twohit	u	200	flex	0.625	0.15	0.0
IB	twohit	u	1	emref	0.05	0.025	0.0
IB	twohit	u	10	emref	0.275	0.05	0.0
IB	twohit	u	200	emref	0.65	0.15	0.0
IBMu	loose	u	1	rigid	0.175	0.075	0.0
IBMu	loose	u	10	rigid	0.35	0.125	0.0
IBMu	loose	u	200	rigid	0.775	0.275	0.0
IBMu	loose	u	1	flex	0.175	0.05	0.0
IBMu	loose	u	10	flex	0.425	0.2	0.0
IBMu	loose	u	200	flex	0.775	0.275	0.0
IBMu	loose	u	1	emref	0.2	0.05	0.0
IBMu	loose	u	10	emref	0.35	0.175	0.0
IBMu	loose	u	200	emref	0.775	0.275	0.0
IBMu	twohit	u	1	rigid	0.15	0.05	0.0
IBMu	twohit	u	10	rigid	0.325	0.125	0.0
IBMu	twohit	u	200	rigid	0.675	0.25	0.0
IBMu	twohit	u	1	flex	0.175	0.075	0.0
IBMu	twohit	u	10	flex	0.45	0.175	0.0
IBMu	twohit	u	200	flex	0.675	0.375	0.0
IBMu	twohit	u	1	emref	0.2	0.075	0.0
IBMu	twohit	u	10	emref	0.425	0.175	0.0
IBMu	twohit	u	200	emref	0.675	0.35	0.0
IB	real	u	1	rigid	0.275	0.025	0.0
IB	real	u	10	rigid	0.625	0.05	0.025
IB	real	u	200	rigid	0.9	0.275	0.025
IB	real	u	1	flex	0.325	0.1	0.025
IB	real	u	10	flex	0.625	0.175	0.025
IB	real	u	200	flex	0.9	0.5	0.025
IB	real	u	1	emref	0.275	0.05	0.0
IB	real	u	10	emref	0.725	0.175	0.025
IB	real	u	200	emref	0.9	0.5	0.025
IBMu	mix-loose	u	1	rigid	0.225	0.1	0.0
IBMu	mix-loose	u	10	rigid	0.3	0.1	0.0
IBMu	mix-loose	u	200	rigid	0.875	0.3	0.0
IBMu	mix-loose	u	1	flex	0.125	0.05	0.0
IBMu	mix-loose	u	10	flex	0.425	0.2	0.0
IBMu	mix-loose	u	200	flex	0.85	0.375	0.0
IBMu	mix-loose	u	1	emref	0.05	0.025	0.0
IBMu	mix-loose	u	10	emref	0.4	0.175	0.0
IBMu	mix-loose	u	200	emref	0.85	0.375	0.0
IBMu	surf	b	1	rigid	0.1	0.075	0.05
IBMu	surf	b	10	rigid	0.25	0.15	0.075
IBMu	surf	b	200	rigid	0.475	0.275	0.15
IBMu	surf	b	1	flex	0.075	0.05	0.05
IBMu	surf	b	10	flex	0.2	0.15	0.125
IBMu	surf	b	200	flex	0.375	0.25	0.125
IBMu	surf	b	1	emref	0.05	0.05	0.025
IBMu	surf	b	10	emref	0.125	0.075	0.05
IBMu	surf	b	200	emref	0.325	0.25	0.1
IBMu	loose	u	1	emref-voro	0.25	0.1	0.0
IBMu	loose	u	10	emref-voro	0.375	0.15	0.0
IBMu	loose	u	200	emref-voro	0.6	0.225	0.0
IBMu	real	u	1	emref-voro	0.625	0.325	0.025
IBMu	real	u	10	emref-voro	0.775	0.4	0.05
IBMu	real	u	200	emref-voro	0.925	0.7	0.175
IBMu	twohit	u	1	emref-voro	0.15	0.1	0.0
IBMu	twohit	u	10	emref-voro	0.25	0.15	0.0
IBMu	twohit	u	200	emref-voro	0.45	0.275	0.0
